ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
S2550-65872023000100132-ecu,Comprensión lectora de textos argumentativos: una revisión sistemática desde el nivel básico hasta el universitario,"Maldonado Alegre, Fernando Camilo, Ulloa Córdova, Vanessa Dora, Príncipe Concha, Betty, Trujillo-Solis, Beymar Pedro",Revista de Ciencias Humanísticas y Sociales (ReHuSo); 8(1); 132-145,Revista de Ciencias Humanísticas y Sociales (ReHuSo),Espanhol,2023,http://scielo.senescyt.gob.ec/scielo.php?script=sci_arttext&pid=S2550-65872023000100132&lang=pt 
S1668-70272023000100063-arg,Atención de los profesionales de la salud a personas trans en América Latina y el Caribe,"Hoyos Hernández, Paula Andrea, Duarte Alarcón, Carolina, Valderrama, Laura Juliana",Interdisciplinaria; 40(1); 63-80,Interdisciplinaria,Espanhol,2023,http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1668-70272023000100063&lang=pt 
S1517-97022023000100629-scl,Modelos didácticos mediados por TIC en la enseñanza universitaria: una revisión sistemática,"Becerra, Isabel Jiménez, Reyes, Roberto Canales, Marín, Alejandra Agudelo, Vargas, Lucy Deyanira Andrade",Educação e Pesquisa; 49(); -,Educação e Pesquisa,Espanhol,2023,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022023000100629&lang=pt 
S1692-715X2022000300239-col,La cognición 4E para el aprendizaje matemático en pospandemia: una revisión sistemática,"Fajardo-Santamaría, Jesús Armando","Revista Latinoamericana de Ciencias Sociales, Niñez y Juventud; 20(3); 239-270","Revista Latinoamericana de Ciencias Sociales, Niñez y Juventud",Espanhol,2022,http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-715X2022000300239&lang=pt 
S2661-67422022000200125-ecu,Infecciones de transmisión sexual en poblaciones étnicas autóctonas latinoamericanas. Revisión sistemática,"Jiménez Brito, Dóriz, Sanhueza Alvarado, Olivia Inés",Revista Eugenio Espejo; 16(2); 125-138,Revista Eugenio Espejo,Espanhol,2022,http://scielo.senescyt.gob.ec/scielo.php?script=sci_arttext&pid=S2661-67422022000200125&lang=pt 
S0719-49942022000300057-chl,Dimensions of Sustainability in Origin Schemes: An Approach from Protected Appellation of Origin,"Martínez-Salvador, Laura Elena, Reyes-Jaime, Alejandra",RIVAR (Santiago); 9(27); 57-73,RIVAR (Santiago),Inglês,2022,http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-49942022000300057&lang=pt 
S1645-00862022000100110-prt,"Compulsão alimentar, comer noturno e obesidade: uma revisão sistemática","Pinheiro, Laís, Melo, Cynthia","Psicologia, Saúde &amp; Doenças; 23(1); 110-119","Psicologia, Saúde &amp; Doenças",Português,2022,http://www.scielo.pt/scielo.php?script=sci_arttext&pid=S1645-00862022000100110&lang=pt 
S0719-26812022000100088-chl,CONTENIDOS EDUCATIVOS MAPUCHES Y ESPACIOS ECOLÓGICOS-CULTURALES EN LA ARAUCANÍA: DESAFÍOS PARA UNA EDUCACIÓN INTERCULTURAL,"Andrade, Elías, Quintriqueo, Segundo, Arias-Ortega, Katerin, Peña-Cortés, Fernando",Diálogo andino; (67); 88-98,Diálogo andino,Espanhol,2022,http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-26812022000100088&lang=pt 
S0300-90412022000600513-mex,Asociación entre la esterilización quirúrgica y la disfunción sexual femenina: revisión narrativa,"Bermúdez-González, Catalina",Ginecología y obstetricia de México; 90(6); 513-519,Ginecología y obstetricia de México,Espanhol,2022,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0300-90412022000600513&lang=pt 
S0325-82382022000200157-arg,Dimensiones actuales en la investigación del trabajo infantil en Argentina: una sistematización teórica,"Miño, María Gabriela, Gómez, Raimundo Elías",Folia Histórica del Nordeste; (44); 157-170,Folia Histórica del Nordeste,Espanhol,2022,http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-82382022000200157&lang=pt 
S1020-49892022000100650-spa,Hepatitis B en indígenas de América Latina: una revisión de la literatura,"Castro-Arroyave, Diana María, Martínez-Gallego, Jaime Alberto, Montoya-Guzmán, Melissa, Silva, Gustavo, Rojas Arbeláez, Carlos Alberto",Revista Panamericana de Salud Pública; 46(); -,Revista Panamericana de Salud Pública,Espanhol,2022,http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1020-49892022000100650&lang=pt 
S2007-74672021000200139-mex,La promoción de la lectura en la vinculación universitaria,"Jarvio Fernández, Antonia Olivia",RIDE. Revista Iberoamericana para la Investigación y el Desarrollo Educativo; 12(23); -,RIDE. Revista Iberoamericana para la Investigación y el Desarrollo Educativo,Espanhol,2021,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-74672021000200139&lang=pt 
S0213-91112021000400011-esp,Experiencias emocionales en la interrupción voluntaria del embarazo,"Danet Danet, Alina",Gaceta Sanitaria; 35(4); 361-373,Gaceta Sanitaria,Espanhol,2021,http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112021000400011&lang=pt 
S0213-91112021000400361-spa,Experiencias emocionales en la interrupción voluntaria del embarazo,"Danet Danet, Alina",Gaceta Sanitaria; 35(4); 361-373,Gaceta Sanitaria,Espanhol,2021,http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112021000400361&lang=pt 
S0121-56122021000300139-col,"Entre sueños, montañas y vallenatos. Aprendizajes sobre la expansión regional de las FARC-EP en el Caribe","Bolívar, Ingrid, Lizarazo, Sergio",Colombia Internacional; (107); 139-162,Colombia Internacional,Espanhol,2021,http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-56122021000300139&lang=pt 
